constituency,state,status,Vote,Margin,Candidate,Party
HAMIRPUR(3),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 3 - HAMIRPUR  (Himachal Pradesh)

            ",lost,1410,-605658,SURENDER KUMAR GAUTAM,Independent
HAMIRPUR(3),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 3 - HAMIRPUR  (Himachal Pradesh)

            ",lost,1239,-605829,SUBEDAR MAJOR KULWANT SINGH PATIAL,Bharatheeya Jawan Kisan Party
HAMIRPUR(3),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 3 - HAMIRPUR  (Himachal Pradesh)

            ",lost,1019,-606049,NAND LAL,Independent
HAMIRPUR(3),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 3 - HAMIRPUR  (Himachal Pradesh)

            ",lost,675,-606393,SUMIT RANA,Akhil Bhartiya Parivar Party
HAMIRPUR(3),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 3 - HAMIRPUR  (Himachal Pradesh)

            ",lost,560,-606508,RAMESH CHAND SARTHI,Independent
HAMIRPUR(3),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 3 - HAMIRPUR  (Himachal Pradesh)

            ",lost,433,-606635,ARUN ANKESH SYAL,Ekam Sanatan Bharat Dal
HAMIRPUR(3),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 3 - HAMIRPUR  (Himachal Pradesh)

            ",lost,246,-606822,GARIB DASS KATOCH,Independent
HAMIRPUR(3),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 3 - HAMIRPUR  (Himachal Pradesh)

            ",lost,202,-606866,GOPI CHAND ATTARI,Independent
HAMIRPUR(3),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 3 - HAMIRPUR  (Himachal Pradesh)

            ",,5178,-601890,NOTA,None of the Above
SHIMLA(4),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 4 - SHIMLA  (Himachal Pradesh)

            ",won,519748,91451,Suresh Kumar Kashyap,Bharatiya Janata Party
SHIMLA(4),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 4 - SHIMLA  (Himachal Pradesh)

            ",lost,428297,-91451,Vinod Sultanpuri,Indian National Congress
SHIMLA(4),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 4 - SHIMLA  (Himachal Pradesh)

            ",lost,6500,-513248,Anil Kumar Manget,Bahujan Samaj Party
SHIMLA(4),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 4 - SHIMLA  (Himachal Pradesh)

            ",lost,4814,-514934,Suresh Kumar,Rashtriya Devbhumi Party
SHIMLA(4),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 4 - SHIMLA  (Himachal Pradesh)

            ",lost,4676,-515072,Madan Lal,Akhil Bhartiya Parivar Party
SHIMLA(4),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 4 - SHIMLA  (Himachal Pradesh)

            ",,5930,-513818,NOTA,None of the Above
Belgaum(2),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 2 - Belgaum  (Karnataka)

            ",won,762029,178437,JAGADISH SHETTAR,Bharatiya Janata Party
Belgaum(2),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 2 - Belgaum  (Karnataka)

            ",lost,583592,-178437,MRINAL R HEBBALKAR,Indian National Congress
Belgaum(2),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 2 - Belgaum  (Karnataka)

            ",lost,9503,-752526,MAHADEV PATIL,Independent
Belgaum(2),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 2 - Belgaum  (Karnataka)

            ",lost,5441,-756588,BASAPPA GURUSIDDAPPA KUMBAR,Karnataka Rashtra Samithi
Belgaum(2),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 2 - Belgaum  (Karnataka)

            ",lost,4407,-757622,ASHOK APPAYA APPUGOL,Bahujan Samaj Party
Belgaum(2),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 2 - Belgaum  (Karnataka)

            ",lost,3926,-758103,RAVI SHIVAPPA PADASALAGI,Independent
Belgaum(2),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 2 - Belgaum  (Karnataka)

            ",lost,2808,-759221,VIJAY S METHRANI,Independent
Belgaum(2),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 2 - Belgaum  (Karnataka)

            ",lost,1433,-760596,PRAJAAKEEYA MALLAPPA CHOGALA (PREM),Uttama Prajaakeeya Party
Belgaum(2),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 2 - Belgaum  (Karnataka)

            ",lost,1310,-760719,NITIN ASHOK MHADAGUT,Independent
